Origin,Destination,Travel Time,Kilometers
0,181,25.05853923,21.92720757
0,161,25.4816743,22.26499858
0,301,25.90726356,21.89318807
0,292,27.18181401,23.2381457
0,509,28.34980112,25.70635837
0,150,28.46947018,25.75961816
0,981,28.91082216,28.59908477
0,258,29.1956881,26.31960026
0,424,29.49564566,28.80062706
0,179,29.5416414,24.69697431
0,110,30.20318208,29.40809867
0,419,31.34804291,30.21346449
0,522,32.5477323,32.8519017
0,117,33.66564907,33.26304195
168,168,0,0
168,499,1.188093113,0.409188665
168,436,3.834349518,2.027594885
168,464,4.596516847,2.075387543
168,602,5.045822815,1.937784445
168,212,5.141681735,2.216083196
168,248,5.770513953,3.503630885
168,477,5.974077538,3.417511602
168,801,6.854055935,4.339909187
168,451,7.001490736,3.46281171
168,532,7.171749895,3.07649738
168,488,7.389025949,3.802186849
168,515,7.6839461,3.189300245
168,455,7.809380477,4.193123837
168,605,7.854261727,4.187987594
168,423,7.892887082,4.601824104
168,682,7.956438289,3.256962546
168,497,7.961222168,3.243285707
168,490,8.602091492,4.906461674
168,383,9.20868332,4.977607056
168,533,9.265543005,6.173638489
168,479,9.351874967,3.419235182
168,461,9.429285751,4.089853277
168,275,10.46874403,6.68379922
168,218,10.52877016,6.709304118
168,192,10.59009862,4.794960369
168,891,11.17587173,7.263658218
168,437,11.36656471,5.310022353
168,478,11.38649562,5.775741851
168,214,11.8588986,5.439629933
168,999,12.46472249,8.006442853
168,278,12.47359006,6.156088356
168,0,12.72092681,7.987791789
168,426,12.75958799,10.02004027
168,252,13.01958612,6.459013755
168,415,13.09156227,10.11884654
168,473,14.32514201,10.56749829
168,264,14.4276325,7.580814707
168,438,14.4363142,10.16448307
168,316,14.59832157,9.962995292
168,408,15.63995698,10.7928986
168,178,16.05321393,8.774512328
168,405,16.32390563,8.692371819
168,158,16.37930632,11.2560358
168,982,16.57071778,11.40503037
168,203,16.61749536,13.40356715
168,301,16.72032346,11.76075447
168,971,17.07987682,14.68710634
168,223,17.66084405,14.96896645
168,181,18.00926574,15.15452906
168,328,18.42273948,16.5063919
168,161,18.43240081,15.49232007
168,412,18.5190493,15.40063135
168,516,19.04049148,12.85385058
168,450,19.39456467,13.39260439
168,292,20.13254052,16.46546719
168,750,20.30493179,17.99346667
168,604,20.55549065,15.65494224
168,394,20.60627514,17.28230165
168,457,20.9385445,20.10344658
168,509,21.30052763,18.93367986
168,150,21.42019669,18.98693964
168,190,21.82266055,12.4392837
168,981,21.86154867,21.82640625
168,258,22.14641461,19.54692175
168,424,22.44637217,22.02794854
168,179,22.49236791,17.92429579
168,984,22.86666744,17.94344872
168,110,23.15390859,22.63542016
168,419,24.29876943,23.44078597
168,522,25.49845881,26.07922319
168,117,26.61637558,26.49036344
150,150,0,0
150,258,3.025228432,1.405645234
150,424,4.315500935,3.076620679
150,509,4.316480529,2.724722395
150,179,4.520672926,2.406410749
150,971,5.146292143,5.153221439
150,161,5.405709632,3.309826286
150,181,6.074254594,3.436470079
150,981,6.153635807,4.764212698
150,292,6.345638042,3.523022636
150,110,7.44599572,5.573226601
150,419,8.590856559,6.378592416
150,522,10.19984849,9.014568557
150,301,11.01429371,8.13438684
150,117,11.31776527,9.425708804
150,438,13.6212532,11.79534588
150,275,13.83496331,12.43555539
150,533,14.20091367,12.59779123
150,423,15.50384714,14.52791121
150,490,16.28042736,14.77695339
150,801,16.64863333,15.28888405
150,248,17.26911715,15.66298923
150,212,19.13630603,16.48397253
150,436,19.14446939,17.27782559
150,477,19.18995704,17.31602877
150,464,20.08745043,17.67454303
150,457,20.68994936,24.15935248
150,451,20.80707963,18.36192334
150,488,21.91405653,21.10803255
150,499,22.1614293,19.06184918
150,455,22.33441106,21.49896954
150,605,22.37929231,21.49383329
150,328,22.4759299,27.89969731
150,168,22.58535988,19.06730438
150,192,23.17946478,19.26631591
150,383,23.7337139,22.28345276
150,750,24.35812221,29.38677207
150,412,24.62278204,29.47518024
150,190,24.72041142,24.78036773
150,223,25.03060622,29.78759689
150,218,25.05380074,24.01514982
150,479,25.27275076,23.89695099
150,602,25.32163712,20.7174867
150,891,25.70090231,24.56950392
150,214,25.79582282,20.77165688
150,478,25.96080787,25.493641
150,203,26.40207365,32.63402041
150,405,26.81725004,32.58855543
150,264,26.8351195,32.64777323
150,999,26.98975308,25.31228855
150,461,27.01261772,26.50296567
150,252,27.04438967,33.07218152
150,178,27.18984523,21.98688674
150,0,27.24595739,25.29363749
150,426,27.28461857,27.32588597
150,497,27.53451946,22.29884751
150,515,27.59054424,24.62336898
150,415,27.61659285,27.42469224
150,682,27.73936379,22.37776795
150,532,27.91597446,24.59186589
150,278,28.56771389,33.96067604
150,473,28.85017259,27.87334399
150,316,29.12335215,27.26884099
150,437,29.14232184,34.93321459
150,408,30.16498756,28.0987443
150,158,30.9043369,28.5618815
150,982,31.09574836,28.71087607
150,394,33.21829823,34.90225578
150,516,33.56552206,30.15969628
150,450,33.91959525,30.69845009
150,604,35.08052123,32.96078794
150,984,35.38092646,35.34571337
178,178,0,0
178,223,3.037831185,1.762113667
178,412,3.896036433,2.193778571
178,278,4.75591065,2.836140535
178,214,5.975688346,3.480321107
178,750,6.318568679,4.138005956
178,252,6.572115058,3.599776839
178,437,6.586222993,3.835177104
178,190,7.22109887,4.691578107
178,203,7.806700379,4.676637844
178,192,7.961025647,4.487385909
178,328,8.119582932,4.493584399
178,264,8.150711633,4.506851717
178,405,8.233862905,4.827831518
178,497,9.001362706,5.578335804
178,532,9.167253106,5.763075549
178,682,9.206207037,5.657256247
178,515,9.299570001,6.041330283
178,461,9.994757473,6.225895133
178,451,10.11649371,5.659209491
178,426,10.44371817,6.295926432
178,457,10.63538795,8.090639081
178,415,10.77569245,6.394732703
178,801,11.68311682,7.035218393
178,473,12.00927219,6.843384454
178,602,12.18249703,7.318893873
178,478,12.20599122,7.99041668
178,477,12.30907631,7.027673519
178,479,12.49973216,7.384946013
178,464,12.95531892,7.319345716
178,0,13.03660103,7.715834637
178,316,13.43867979,7.992437272
178,891,13.67217034,9.296605104
178,248,13.85193996,8.234940186
178,436,14.06596713,8.235230509
178,533,14.15095969,9.019175867
178,408,14.4803152,8.822340575
178,423,14.54610658,9.250013307
