ObjectID,Total_TravelTime,Total_Kilometers,Origin_School,Dest_School,,,
185,27.81111627,24.51877061,110,214,324,,
186,28.49968267,25.54640404,110,190,300,,
187,28.61233861,34.05528089,110,223,333,,
188,28.65230911,45.46923516,110,461,571,,
189,28.68823682,29.76840167,110,479,589,,
190,28.68823682,29.76840167,110,478,588,,
191,28.86292006,30.71360918,110,426,536,,
192,29.01277674,28.95679884,110,218,328,,
193,29.11627004,36.80892688,110,203,313,,
194,29.48687097,30.58313203,110,0,110,,
195,29.59202787,37.00277714,110,405,515,,
196,29.79738544,31.10717856,110,415,525,,
197,29.79738544,31.10717856,110,999,1109,,
198,29.9783196,36.98341178,110,178,288,,
199,29.9783196,36.98341178,110,252,362,,
200,30.04967265,26.51072538,110,497,607,,
201,30.33897494,37.3376629,110,264,374,,
202,30.36040832,38.34164822,110,437,547,,
203,30.56397874,29.98852555,110,515,625,,
204,30.72110269,26.7870554,110,682,792,,
205,31.10144149,26.99423911,110,602,712,,
206,31.24779457,38.29369575,110,278,388,,
207,31.39184864,31.36586292,110,473,583,,
208,33.31532651,32.82368592,110,316,426,,
209,33.43699583,32.72335011,110,516,626,,
210,33.49974248,32.57108597,110,408,518,,
211,33.49974248,32.57108597,110,158,268,,
212,35.4326963,39.08799958,110,984,1094,,
213,35.79749951,35.5039907,110,982,1092,,
214,36.65920119,34.97950773,110,450,560,,
215,36.76519288,40.0509255,110,394,504,,
216,37.22224111,35.38840737,110,604,714,,
217,0,0,438,438,876,,
218,5.546940367,3.279375374,438,275,713,,
219,5.73215965,3.682181706,438,301,739,,
220,5.910571659,4.167940008,438,533,971,,
221,7.462361286,4.709750738,438,451,889,,
222,8.309380146,5.449096981,438,477,915,,
223,8.309380146,5.449096981,438,801,1239,,
224,8.765907221,6.50151254,438,423,861,,
225,8.86822162,6.654183806,438,192,630,,
226,9.847991654,7.400096466,438,248,686,,
227,9.935356848,6.637382257,438,181,619,,
228,10.45490097,7.352653714,438,490,928,,
229,10.70804514,7.852016283,438,464,902,,
230,10.82959908,7.594165701,438,213,651,,
231,11.03075325,8.04341537,438,436,874,,
232,12.59563857,8.332167755,438,161,599,,
233,12.63875197,8.657481086,438,971,1409,,
234,12.64069653,7.558568665,438,891,1329,,
235,12.64411955,7.622233814,438,214,652,,
