ObjectID,ODLines1_Total_TravelTime,ODLines1_Total_Kilometers,ODLines1_Origin_School,ODLines1_Destination_School
217,10.70804514,7.852016283,438,464
218,10.82959908,7.594165701,438,212
219,11.03075325,8.04341537,438,436
220,12.59563857,8.332167755,438,161
221,12.63875197,8.657481086,438,971
222,12.64069653,7.558568665,438,891
223,12.64411955,7.622233814,438,214
224,12.84781003,8.685746486,438,190
225,13.06796048,9.257753648,438,509
226,13.40016542,9.340291447,438,292
227,13.59246878,9.436955432,438,168
228,13.65697994,9.33597613,438,499
229,14.58011021,9.616890964,438,179
230,14.69120468,9.643974879,438,178
231,14.69120468,9.643974879,438,252
232,14.95190158,9.61835613,438,497
233,15.10223584,14.41961457,438,981
234,15.38765799,12.12517192,438,150
235,15.49599416,12.34315156,438,258
236,15.62333161,9.894686147,438,682
237,16.00367042,10.10186986,438,602
238,16.04452438,15.05185837,438,424
239,16.944979,15.84464061,438,110
240,17.22016504,16.88114159,438,522
241,17.36617408,10.81162445,438,278
242,17.90422796,16.28182817,438,419
243,18.42551046,15.6933311,438,455
244,19.6879436,16.97997768,438,605
245,19.71294168,16.42880651,438,488
246,19.78843886,12.05273927,438,412
247,19.92201636,19.26791246,438,117
248,20.08058009,12.58507152,438,437
249,20.3335463,16.83248332,438,383
250,20.42020325,11.52189832,438,0
251,21.24416324,12.47292737,438,479
252,21.24416324,12.47292737,438,478
253,21.48736725,12.98815742,438,328
254,21.94495951,13.14368555,438,223
255,22.55759583,15.09791651,438,203
256,22.62711087,15.90705708,438,457
257,22.62711087,15.90705708,438,750
258,23.03335366,15.29176677,438,405
259,23.1116638,13.32494433,438,218
260,23.17722011,21.24075791,438,426
261,23.6441808,23.60076386,438,461
262,23.78030072,15.62665253,438,264
263,24.1116855,21.63432728,438,415
264,24.66286581,14.3566711,438,515
265,25.70614869,21.89301164,438,473
266,27.62962656,23.35083465,438,316
267,27.75129588,23.25049884,438,516
268,27.81404254,23.0982347,438,408
269,30.11179956,26.03113942,438,982
270,30.97350124,25.50665646,438,450
271,31.53654116,25.91555609,438,604
272,31.66000385,29.30110988,438,984
273,0,0,258,258
274,0.71374381,0.273087874,258,150
275,2.37727186,1.328139819,258,179
276,4.366314265,2.419747473,258,424
277,4.782259771,2.723015095,258,292
278,5.772417462,3.823826804,258,981
279,6.31061412,3.078367238,258,161
280,7.071561002,4.321965553,258,181
281,7.615160622,5.248852844,258,110
282,7.865404449,4.616990675,258,971
283,8.299649213,6.282892755,258,522
284,8.574409577,5.686040408,258,419
285,10.43402647,9.372704585,258,509
286,11.42026127,8.93374092,258,117
287,11.4536542,9.491662407,258,301
288,14.66440144,12.43696357,258,438
289,14.70314446,13.75248002,258,533
290,14.88282719,13.5425549,258,275
291,16.3078552,14.78083299,258,490
292,17.41222077,15.97085567,258,423
293,17.50836087,15.89708591,258,477
294,17.50836087,15.89708591,258,801
295,17.66079442,16.23872382,258,192
296,18.20312629,16.07937746,258,212
297,18.8449475,17.2441792,258,248
298,19.70500099,17.69609902,258,464
299,20.0277091,17.88749811,258,436
300,20.2968261,17.84097447,258,451
301,21.73209947,25.74833529,258,457
302,21.73209947,25.74833529,258,750
303,22.01429813,21.40376791,258,455
304,22.55567495,18.46158775,258,499
305,22.58942463,19.28110817,258,168
306,23.18003255,27.71780135,258,328
307,23.27673127,22.6904145,258,605
308,23.30172934,22.13924333,258,488
309,23.92233396,22.54292013,258,383
310,24.35890568,29.20192015,258,412
311,25.38092466,20.72035577,258,891
312,25.71420399,20.75635615,258,214
313,26.40277039,21.78398958,258,190
314,26.51542633,30.29286643,258,223
315,26.59132454,26.00598721,258,479
316,26.59132454,26.00598721,258,478
317,26.76600778,26.95119472,258,426
318,26.91586446,25.19438438,258,218
319,27.01935776,33.04651242,258,203
320,27.04553164,28.81119891,258,461
321,27.38995869,26.82071757,258,0
322,27.49511559,33.24036267,258,405
323,27.70047316,27.34476409,258,415
324,27.88140732,33.22099732,258,178
325,27.88140732,33.22099732,258,252
326,27.95276037,22.74831092,258,497
327,28.24206266,33.57524844,258,264
328,28.26349604,34.57923376,258,437
